Service,Number,Name,Address,Dept,CP,Ville,Latitude,Longitude,WGS84
Vélib,41103,41103 - BRIAND (ARCUEIL),AVENUE ARISTIDE BRIAND (CARREFOUR VACHE NOIRE) - 94110 ARCUEIL,94,94110,ARCUEIL,48.81042317,2.326969765,48.81042317
Cristolib,6,06 - AVENUE DE LA BRECHE,AVENUE DE LA BRECHE,94,94000,Créteil,48.78350103,2.454576358,48.78350103
Vélib,14104,14104 - LOSSERAND BOYER-BARRET,4 RUE BOYER BARRET - 75014 PARIS,75,75014,PARIS,48.83425014,2.317614787,48.83425014
Vélib,14028,14028 - PLAISANCE ALESIA,164 RUE ALESIA - 75014 PARIS,75,75014,PARIS,48.8316397,2.315158529,48.8316397
Vélib,16103,16103 - TRAKTIR,3 RUE TRAKTIR - 75016 PARIS,75,75016,PARIS,48.87279916,2.291508179,48.87279916
Vélib,17031,17031 - PORTE DE CHAMPERET,PLACE DE LA PORTE DE CHAMPERET - 75017 PARIS,75,75017,PARIS,48.88561742,2.290781411,48.88561742
Vélib,19018,19018 - CITÉ DE LA MUSIQUE,FACE 210 AVENUE JEAN JAURES - 75019 PARIS,75,75019,PARIS,48.88878607,2.392686122,48.88878607
Vélib,20021,20021 - PRAIRIE L INDRE,2 RUE DE L'INDRE - 75020 PARIS,75,75020,PARIS,48.86272646,2.403351311,48.86272646
Vélib,20022,20022 - PORTE DE BAGNOLET,1 RUE GEO CHAVEZ - 75020 PARIS,75,75020,PARIS,48.86422187,2.408205412,48.86422187
Vélib,15021,15021 - CROIX NIVERT,DEV 2 RUE JOSEPH LOUVILLE - 75015 PARIS,75,75015,PARIS,48.84480642,2.297572006,48.84480642
Vélib,15112,15112 - FALGUIÈRE LEBRUN,19 RUE VIGEE LEBRUN - 75015 PARIS,75,75015,PARIS,48.83875881,2.31093608,48.83875881
Vélib,16008,16008 - GALILEE KLEBER,1 RUE GALILEE - 75016 PARIS,75,75016,PARIS,48.86741187,2.29078138,48.86741187
Vélib,18005,18005 - TARDIEU,8 RUE TARDIEU - 75018 PARIS,75,75018,PARIS,48.88416327,2.341879802,48.88416327
Vélib,18104,18104 - CHAPELLE,2 IMPASSE DE LA CHAPELLE - 75018 PARIS,75,75018,PARIS,48.89265689,2.359435455,48.89265689
Vélib,18004,18004 - ABBESSES,2 RUE DE LA VIEUVILLE - 75018 PARIS,75,75018,PARIS,48.88448239,2.338812297,48.88448239
Vélib,20120,20120 - NOISY LE SEC,1 RUE EVARISTE GALOIS - 75020 PARIS,75,75020,PARIS,48.87333823,2.41323988,48.87333823
Vélib,20004,20004 - PORTE DE VINCENNES BIS,10 RUE DU COMMANDANT L'HERMINIER - 75020 PARIS,75,75020,PARIS,48.84706442,2.41602296,48.84706442
Vélib,3013,03013 - RUE DE SEVIGNE,36 RUE DE SEVIGNE - 75003 PARIS,75,75003,PARIS,48.85695415,2.36289742,48.85695415
Vélib,8008,08008 - ROME SAINT LAZARE,1 RUE JOSEPH SANSBOEUF - 75008 PARIS,75,75008,PARIS,48.87535317,2.322884366,48.87535317
Vélib,8113,08113 - PLACE ST AUGUSTIN,5 PLACE SAINT AUGUSTIN - 75008 PARIS,75,75008,PARIS,48.87492311,2.319395144,48.87492311
Vélib,8028,08028 - HOUSSAYE,1 RUE ARSENE HOUSSAYE - 75008 PARIS,75,75008,PARIS,48.87343408,2.297706778,48.87343408
Vélib,8010,08010 - LIEGE,22 RUE DE LIEGE - 75008 PARIS,75,75008,PARIS,48.87958117,2.326427352,48.87958117
Vélib,12151,12151 - GARE DE LYON,GARE DE LYON - 75012 PARIS,75,75012,PARIS,48.84551509,2.372649845,48.84551509
Vélib,21015,21015 - NATIONALE (BOULOGNE-BILLANCOURT),39 RUE NATIONALE - 92100 BOULOGNE-BILLANCOURT,92,92100,BOULOGNE-BILLANCOURT,48.82760042,2.241835191,48.82760042
Vélib,21111,21111 - LERICHE (CLICHY),14 RUE DU PROFESSEUR RENE LERICHE - 92110 CLICHY,92,92110,CLICHY,48.90811038,2.30751971,48.90811038
Vélib,21308,21308 - LASSERRE (ISSY LES MOULINEAUX),FACE AU 27 RUE LASSERRE - 92130 ISSY LES MOULINEAUX,92,92130,ISSY-LES-MOULINEAUX,48.82129238,2.273313694,48.82129238
Vélib,14002,14002 - RASPAIL QUINET,FACE 4 BD EDGAR QUINET - 75014 PARIS,75,75014,PARIS,48.83919917,2.329555097,48.83919917
Vélib,20034,20034 - SORBIER - MÉNILMONTANT,1 RUE SORBIER - 75020 PARIS,75,75020,PARIS,48.86852647,2.38979541,48.86852647
Vélib,1018,01018 - RIVOLI TUILERIE,2 RUE D'ALGER - 75001 PARIS,75,75001,PARIS,48.86479367,2.329431422,48.86479367
Vélib,8020,08020 - METRO ROME,74 BOULEVARD DES BATIGNOLLES - 75008 PARIS,75,75008,PARIS,48.88214895,2.319860055,48.88214895
Vélib,8032,08032 - MATIGNON,27 AVENUE MATIGNON - 75008 PARIS,75,75008,PARIS,48.87147642,2.31388542,48.87147642
Vélib,11022,11022 - LEON BLUM ROQUETTE,142 RUE DE LA ROQUETTE - 75011 PARIS,75,75011,PARIS,48.85800191,2.381797703,48.85800191
Vélib,41101,41101 - DOUMER (ARCUEIL),FACE AU 11 AVENUE PAUL DOUMER - 94110 ARCUEIL,94,94110,ARCUEIL,48.80638001,2.336710403,48.80638001
Vélib,8035,08035 - NARVICK,54 RUE DE LA BIENFAISANCE - 75008 PARIS,75,75008,PARIS,48.87659994,2.313165054,48.87659994
Vélib,9031,09031 - PROVENCE,69 RUE DE PROVENCE - 75009 PARIS,75,75009,PARIS,48.87428448,2.332976512,48.87428448
Vélib,11012,11012 - MONTREUIL VOLTAIRE,93 RUE DE MONTREUIL - 75011 PARIS,75,75011,PARIS,48.85050701,2.393075558,48.85050701
Vélib,11025,11025 - FROMENT BREGUET,9 RUE FROMENT - 75011 PARIS,75,75011,PARIS,48.85704145,2.372894703,48.85704145
